"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"PM","elmamoun_2013_M12",1314.48504956508,0.65781616324571,3.74203170767023,2.81815399707464,0.0707142971307078,1304.08086914167,-649.040434570836,"PM_elmamoun_2013_M12"
"PM","huang_2000_I",1317.97495205478,0.660660367966474,3.72644752213179,2.84671900576833,-0.0768888802446533,1304.10271149024,-648.051355745121,"PM_huang_2000_I"
"PM","peschel_1938",1317.97495207129,0.660660367942838,3.72644752226157,2.84672457127425,-0.0769009490783365,1304.10271150675,-648.051355753375,"PM_peschel_1938"
"PM","ratkowsky_1986",1317.97495208893,0.660660367917585,3.72644752240022,2.84672502763817,-0.0769033098232172,1304.10271152439,-648.051355762194,"PM_ratkowsky_1986"
"PM","hyperbolic_model_II",1314.75861469032,0.65742095813632,3.74419201323241,2.89750600080105,-0.122192549453144,1304.35443426691,-649.177217133457,"PM_hyperbolic_model_II"
"PM","peschel_1938_II",1314.75861469041,0.657420958136184,3.74419201323315,2.89750593410962,-0.122192368746736,1304.35443426701,-649.177217133504,"PM_peschel_1938_II"
"PM","elmamoun_2013_M17",1314.84703005333,0.657293131550201,3.74489048363918,2.88980039890423,-0.120699715532861,1304.44284962992,-649.22142481496,"PM_elmamoun_2013_M17"
"PM","schumacher_1939",1314.84703007244,0.657293131522565,3.74489048379018,2.88979900760473,-0.120695279262253,1304.44284964903,-649.221424824516,"PM_schumacher_1939"
"PM","elmamoun_2013_M2",1314.84703007244,0.657293131522565,3.74489048379018,2.88979900760473,-0.120695279262253,1304.44284964903,-649.221424824516,"PM_elmamoun_2013_M2"
"PM","lundqvist_1989",1318.51557876548,0.659885408171465,3.73070019386583,2.82591586028284,-0.0537385227886702,1304.64333820094,-648.321669100472,"PM_lundqvist_1989"
"PM","huang_1992_IV",1320.12958449706,0.657561271645707,3.74342516169989,2.88379723598447,-0.100695553257162,1306.25734393252,-649.128671966258,"PM_huang_1992_IV"
"PM","wykoff_1982_I",1317.98949484198,0.652718803634743,3.76980036221239,2.95437763214517,-0.162148063127737,1307.58531441857,-650.792657209287,"PM_wykoff_1982_I"
"PM","exponential_model",1317.98949486303,0.652718803603901,3.76980036237979,2.95437438746481,-0.162140829042194,1307.58531443962,-650.792657219811,"PM_exponential_model"
"PM","flewelling_jong_1994",1321.63897171816,0.655373414896899,3.75536457925728,2.87872392313518,-0.0813779250955469,1307.76673115362,-649.883365576809,"PM_flewelling_jong_1994"
"PM","elmamoun_2013_M18",1318.41430974135,0.65209575499709,3.77318049980877,2.83331013655221,0.043734067609583,1308.01012931795,-651.005064658973,"PM_elmamoun_2013_M18"
"PM","huang_2000_III",1320.14653709079,0.649543615764208,3.78699476963293,2.98855336537939,-0.192795580682132,1309.74235666739,-651.871178333693,"PM_huang_2000_III"
"PM","curtis_1967_III",1320.14653709939,0.649543615751486,3.78699476970166,2.98853937150552,-0.192766276399873,1309.74235667599,-651.871178337995,"PM_curtis_1967_III"
"PM","burkhart_strub_1974",1322.25608543837,0.64641026233137,3.80388644102861,3.01796942222124,-0.219011110082644,1311.85190501496,-652.925952507481,"PM_burkhart_strub_1974"
"PM","staudhammer_lemay_2000",1322.25608544194,0.646410262326048,3.80388644105723,3.01795497321445,-0.218972505329059,1311.85190501853,-652.925952509265,"PM_staudhammer_lemay_2000"
"PM","ogana_2018",1326.07603846923,0.64066494531608,3.83466571586032,2.93532464978944,0.0668171828764943,1315.67185804582,-654.835929022912,"PM_ogana_2018"
"PM","stoffels_1953",1326.07603848225,0.640664945296342,3.83466571596564,2.93532924272904,0.0668237307007653,1315.67185805884,-654.835929029421,"PM_stoffels_1953"
"PM","power_model",1326.07603851489,0.640664945246846,3.83466571622974,2.93533399902341,0.0668304138261188,1315.67185809149,-654.835929045743,"PM_power_model"
"PM","larsen_hann_1987",1331.94448553788,0.640057372926773,3.83790621936306,2.94156749721871,0.0574774132841458,1318.07224497334,-655.036122486668,"PM_larsen_hann_1987"
"PM","elmamoun_2013_M1",1329.71900938459,0.635098870616571,3.8642509388525,3.00177095502735,0.110695177242911,1319.31482896118,-656.657414480591,"PM_elmamoun_2013_M1"
"PM","hui_gadow_1993_III",1329.71900938459,0.635098870616571,3.8642509388525,3.00177095502735,0.110695177242911,1319.31482896118,-656.657414480591,"PM_hui_gadow_1993_III"
"PM","elmamoun_2013_M3",1335.67776498829,0.63434258024285,3.86825336969599,3.00835463856581,0.109713776403555,1321.80552442375,-656.902762211875,"PM_elmamoun_2013_M3"
"PM","elmamoun_2013_M21",1335.78010071956,0.634184656616365,3.86908860866892,3.00953264005613,0.0980767514736483,1321.90786015502,-656.953930077508,"PM_elmamoun_2013_M21"
"PM","linear_model_II",1355.1440068575,0.593775928000547,4.07718619410067,3.25972315237033,2.98000808562158e-08,1344.7398264341,-669.369913217049,"PM_linear_model_II"
"PM","strand_1958",1360.02484807328,0.594781190391176,4.07213826483998,3.18687453272476,-0.257645805002884,1346.15260750874,-669.07630375437,"PM_strand_1958"
