"species","model","term","estimate","std.error","statistic","p.value"
"DF","ogana_2018","a",0.104720968843997,0.00681176506168025,15.373543845942,5.36318537886602e-51
"DF","ogana_2018","b",0.561180881884022,0.00602200984252584,93.1883036658478,0
"DF","larsen_hann_1987","a",-66.7791024229791,149.632677806933,-0.446286890014375,0.655429320356899
"DF","larsen_hann_1987","b",68.0740498901378,149.57795051124,0.455107518571211,0.649072066901318
"DF","larsen_hann_1987","c",0.00800468711660674,0.017112615764026,0.467765257339216,0.639993920235424
"DF","elmamoun_2013_M1","a",3.0193202828344,0.075976557520453,39.7401564557804,3.20910348494612e-267
"DF","elmamoun_2013_M1","b",0.591111707619582,0.00655051805069486,90.2389250811817,0
"DF","hui_gadow_1993_III","a",3.0193202828344,0.075976557520453,39.7401564557804,3.20910348494612e-267
"DF","hui_gadow_1993_III","b",0.591111707619582,0.00655051805069486,90.2389250811817,0
"DF","elmamoun_2013_M21","a",-80.0968514949645,214.278900049818,-0.373797193640356,0.708587432480449
"DF","elmamoun_2013_M21","b",81.2294592976565,214.215639538194,0.379194812632593,0.704575943586009
"DF","elmamoun_2013_M21","c",-0.00708304195362014,0.0182249163283359,-0.388646061579306,0.697571634868827
"DF","elmamoun_2013_M3","a",-60.739254422947,126.291929593937,-0.480943276567554,0.630599602453354
"DF","elmamoun_2013_M3","b",61.8801235301583,126.22900198755,0.490221126332452,0.624021168436674
"DF","elmamoun_2013_M3","c",0.00922321208546301,0.0182228386889573,0.5061347599511,0.612807421637728
"DF","lebedev_M16","a",1.07100117140602,0.00134565554807842,795.895482269139,0
"DF","lebedev_M16","b",33.8583371741592,0.199161799361672,170.004173906229,0
"DF","lebedev_M16","c",0.153845201520063,0.00461673958083196,33.3233440670568,2.98329952745449e-201
"DF","linear_model_II","a",-4.24394911156882,0.311538757135661,-13.6225397783197,8.54856118279126e-41
"DF","linear_model_II","b",8.86543522785116,0.0963304397585125,92.0315037497558,0
"DF","linear_model_I","a",8.31548757629766,0.197634329525582,42.0751171937531,6.41261226569799e-292
"DF","linear_model_I","b",0.447416979650292,0.00503090051914556,88.9337759607064,0
"DF","lebedev_M24","a",1.22750943173919,0.00374931302860483,327.395824881542,0
"DF","lebedev_M24","b",8577.31436862163,1442.95877601037,5.9442546185117,3.1715311587002e-09
"DF","lebedev_M24","c",-27.7290723713343,0.659632054555735,-42.0371814556677,1.7264832873687e-291
"DF","lebedev_M19","a",0.987671380844768,0.000750436792988998,1316.12867342346,0
"DF","lebedev_M19","b",4.4356514014524,0.0669738374222552,66.2296140131049,0
"DF","lebedev_M19","c",-2.08892827544736,0.0573468086965139,-36.426234047342,1.03913302140477e-232
"DF","ratkowsky_1990","a",-3.02269335035518,1.41502897349379,-2.13613530675062,0.0327668684915952
"DF","ratkowsky_1990","b",-3867.7868394392,1671.88403694608,-2.3134300908239,0.020781112784521
"DF","ratkowsky_1990","c",-673.305568209183,127.051099446966,-5.29948635737889,1.2645469936879e-07
"DF","huang_1992_I","a",20.2144998180067,0.612574132367363,32.9992710268151,5.04203057407593e-198
"DF","huang_1992_I","b",13.0705389571283,3.7522991078422,3.48334143453842,0.000503847984377915
"DF","huang_1992_I","c",-163.597424497292,2.25860682884806,-72.4328919968466,0
"DF","lebedev_M3","a",7441514535487934,1.04629485025872e+23,7.11225381033638e-08,0.999999943258192
"DF","lebedev_M3","b",21.0930764696759,3.34336057187671,6.30894455330489,3.32083023655457e-10
"DF","lebedev_M9","a",1.2970367447047e-05,0.000490648102940527,0.0264351729260006,0.978912384164833
"DF","lebedev_M9","b",1625050.59780047,61447973.6228349,0.0264459591096521,0.978903781918668
"DF","lebedev_M5","a",1.57870591996333e-05,0.000492695284576754,0.0320422372485158,0.974440967095015
"DF","lebedev_M5","b",1330549.98248633,41504274.6172694,0.0320581432817695,0.97442828372494
"DF","elmamoun_2013_M6","a",129485938.234908,8366523196.20939,0.0154766723522112,0.987653150056352
"DF","elmamoun_2013_M6","b",-142743.213659433,4608376.85774106,-0.030974726691385,0.975292207865096
"DF","huang_1992_VI","a",1.58514616648329,10.7433697503224,0.147546459195051,0.882712808170877
"DF","huang_1992_VI","b",0.262765396745244,5.52499323112378,0.0475594060939324,0.962071246762149
"DF","huang_1992_VI","c",-0.282787974133335,2.86452097097517,-0.0987208601363687,0.921367952220481
"DF","lebedev_M8","a",5917811989553.74,7.942596588895e+19,7.45072713100874e-08,0.99999994055784
"DF","lebedev_M8","b",25.3999154287925,4.3451830225212,5.84553407696385,5.71827608639781e-09
"DF","elmamoun_2013_M22","a",1.45308935966786,221.254940308857,0.00656748887794076,0.99476047242128
"DF","elmamoun_2013_M22","b",73038.443136035,68621196.9142689,0.00106437145401711,0.999150840946428
"DF","elmamoun_2013_M22","c",-39.586268612854,8602.29071830863,-0.00460182873482768,0.996328658140052
"DF","elmamoun_2013_M5","a",9.46551812377253e-17,9.26757008726648e-12,1.02135921656293e-05,0.999991851560973
"DF","elmamoun_2013_M5","b",0.60892095031138,22783.7097605421,2.67261546390455e-05,0.99997867778173
